ltable_id,rtable_id,label
1853,2139,0
621,3167,0
2115,8789,0
278,9064,0
1673,13279,0
2305,2948,0
1543,10366,0
88,3269,1
1718,11835,0
1624,5013,1
614,5969,0
768,10397,0
2476,18730,0
470,10874,1
2223,10753,0
1512,19684,0
1136,17384,0
2089,687,0
2020,18153,0
95,12,0
2248,4299,0
896,1632,0
1534,1090,1
2118,5344,0
54,649,0
417,8786,0
1468,4568,0
1455,14080,0
296,13803,0
280,17506,0
2364,17917,0
1816,1832,0
2258,8795,0
340,363,0
2126,17202,0
421,17564,0
222,6546,0
1296,17892,0
1631,7137,0
1365,8795,0
934,13150,0
934,19677,0
538,17174,1
2472,16333,0
672,14737,0
2290,8322,0
2149,2867,0
41,8856,0
1559,18207,0
1845,2204,0
1276,6024,0
665,14691,0
2216,10404,0
1833,5542,0
2180,19893,0
391,21219,0
1028,18409,0
1069,5096,0
1241,14346,0
2472,12781,0
874,19662,0
2260,5732,0
1312,3711,0
73,14518,0
856,16910,0
2471,304,0
978,19451,0
1365,17736,0
92,8778,0
2535,19570,0
793,8070,0
2405,1034,0
1242,13107,0
1334,14528,0
176,8908,0
814,16597,0
2147,19748,0
1927,853,0
492,12502,0
532,7840,0
2156,2642,0
25,9007,0
2224,14691,0
1939,19855,0
2293,14510,0
1560,8708,0
99,4520,1
1106,11055,0
2222,6745,0
70,5723,0
1178,21811,0
1315,15122,1
1453,17234,0
2080,20626,0
581,18198,0
1365,10822,0
1689,13502,0
567,14120,0
2301,6381,0
84,9496,0
1136,606,0
238,4451,0
22,15306,0
1962,9467,0
944,12235,0
2018,21729,0
51,18173,0
1631,1172,0
67,10670,0
1583,2278,0
1334,19791,0
1937,11056,0
700,8236,0
932,17186,0
621,15077,0
1453,16633,0
62,1673,0
498,5577,1
1405,2262,0
1340,8496,1
2020,6751,0
2491,21068,0
1334,6563,0
2389,18444,0
1418,6761,0
532,4044,0
1396,2438,1
2535,827,0
2163,19098,0
1508,646,0
2465,13406,0
1284,15294,0
1937,10820,0
822,286,0
2349,8246,0
1937,6397,0
2165,20785,0
2260,8687,0
1656,14169,1
1251,14392,0
2260,3283,0
1321,19864,0
2098,12550,0
2424,10273,0
725,16181,0
1959,20121,0
1888,6729,1
1888,12765,0
2082,14949,0
462,2829,0
1933,19612,0
1169,3319,0
1844,7644,0
53,18465,0
2122,21539,0
1102,12925,0
2163,4094,0
53,18200,0
1417,7248,1
993,21935,0
1192,18793,0
2149,18717,0
1626,8661,0
2063,3140,0
1805,8138,0
1931,11214,1
1107,12700,1
1542,17016,0
42,172,1
992,3729,0
1661,514,0
1257,17561,0
1178,10752,0
2361,18443,0
278,16320,0
218,7055,0
1888,14169,0
2472,20125,0
2122,14193,0
1309,15127,0
419,1284,0
1338,5497,0
2296,4823,0
1241,7591,0
1342,7322,0
906,14049,0
738,18197,1
1256,10616,0
1463,19737,0
906,5421,0
465,15278,1
1643,6224,0
6,9015,1
2372,666,0
621,13148,0
337,20654,0
117,9323,0
2341,13967,0
761,21777,0
1484,15558,1
737,824,0
2188,20664,0
428,3729,0
2395,6533,0
2328,1607,0
2332,18152,0
419,13250,0
1842,21575,0
937,13300,0
742,2790,0
1992,20767,0
639,4097,0
390,11588,0
2091,3569,0
2361,21794,0
889,14668,0
1737,14860,0
2305,4468,0
1893,4602,0
1237,6974,1
1324,10838,0
1649,6955,0
2395,15534,0
1816,6401,0
136,12581,0
781,17483,1
626,16598,0
2514,4552,0
1298,1400,0
2090,11518,0
1611,10670,0
1060,21811,0
683,3787,0
660,2651,0
1044,14883,0
2332,12781,0
1564,17195,0
960,13888,0
1699,17873,0
2020,805,0
1927,14743,0
564,16772,0
2361,17846,0
2389,820,0
699,4283,1
389,865,0
145,15891,1
2225,19491,0
2020,2818,0
53,6740,0
2069,6006,0
15,6272,0
700,16608,0
792,4806,0
1104,15342,0
462,14704,0
342,15292,0
1191,15576,0
2147,2887,1
735,2445,0
16,15182,0
996,8735,0
1340,19293,0
1571,6749,0
2081,21936,0
1257,18444,0
278,19567,0
2054,19944,0
1493,19053,0
1697,21667,1
95,9007,0
2260,21629,0
2365,19514,0
960,18372,0
944,8252,0
1656,8235,0
912,5733,0
757,6330,0
992,19592,1
1453,17549,0
2082,2822,0
1135,10747,0
2044,11311,0
2145,14644,0
419,21974,0
719,8570,0
345,13329,0
495,4750,0
